,article_name,url,words,claps
0,How You Should Read Research Papers According To Andrew Ng (Stanford Deep Learning…,https://towardsdatascience.com/how-you-should-read-research-papers-according-to-andrew-ng-stanford-deep-learning-lectures-98ecbd3ccfb3?source=---------0-----------------------,165,3.1K
1,10 Idiomatic Ways to Refactor Your Python Code,https://towardsdatascience.com/10-idiotic-ways-to-refactor-your-python-code-cbb05bb0c820?source=---------1-----------------------,139,363
2,Dual Boot is Dead: Windows and Linux are now One.,https://towardsdatascience.com/dual-boot-is-dead-windows-and-linux-are-now-one-27555902a128?source=---------2-----------------------,168,5.5K
3,Detecting Face Features with Python,https://towardsdatascience.com/detecting-face-features-with-python-30385aee4a8e?source=---------3-----------------------,169,153
4,When Not to Use Lists in Python — 5 Alternatives to Consider,https://medium.com/better-programming/when-not-to-use-lists-in-python-5-alternatives-to-consider-11121a6ec33?source=---------4-----------------------,158,661
5,Take the Pain Out of Data Cleaning for Machine Learning,https://towardsdatascience.com/take-the-pain-out-of-data-cleaning-for-machine-learning-20a646a277fd?source=---------5-----------------------,155,118
6,Medium writers you should follow as an aspiring Data Scientist,https://towardsdatascience.com/medium-writers-you-should-follow-as-an-aspiring-data-scientist-13d5a7e6c5dc?source=---------6-----------------------,166,151
7,9 Terrifying Technologies That Will Shape Your Future,https://medium.com/predict/9-terrifying-technologies-that-will-shape-your-future-befa688d247?source=---------7-----------------------,154,12.3K
8,"Age Isn’t the Full Picture in Covid-19 Death Risks, Population Study Finds",https://medium.com/@shinjieyong/age-isnt-the-full-picture-in-covid-19-death-risks-population-study-finds-93a3f15826df?source=---------8-----------------------,140,1.3K
9,Discovering New Data,https://towardsdatascience.com/discovering-new-data-9be5ae5787ca?source=---------9-----------------------,141,266
